nrg_bal,geo_code,year,share_ren_pct,data_flag,sector,geo_name,region,is_eu27_member,yoy_change,gap_to_target_pp,required_pace,recent_pace,pace_status
REN,AT,2004,22.553,,Total,Austria,West,True,,-0.451,0.0,1.601,At or above target
REN,AT,2005,24.353,,Total,Austria,West,True,1.8,-0.451,0.0,1.601,At or above target
REN,AT,2006,26.276,,Total,Austria,West,True,1.923,-0.451,0.0,1.601,At or above target
REN,AT,2007,28.144,,Total,Austria,West,True,1.868,-0.451,0.0,1.601,At or above target
REN,AT,2008,28.788,,Total,Austria,West,True,0.644,-0.451,0.0,1.601,At or above target
REN,AT,2009,31.039,,Total,Austria,West,True,2.251,-0.451,0.0,1.601,At or above target
REN,AT,2010,31.205,,Total,Austria,West,True,0.166,-0.451,0.0,1.601,At or above target
REN,AT,2011,31.552,,Total,Austria,West,True,0.347,-0.451,0.0,1.601,At or above target
REN,AT,2012,32.734,,Total,Austria,West,True,1.182,-0.451,0.0,1.601,At or above target
REN,AT,2013,32.665,,Total,Austria,West,True,-0.069,-0.451,0.0,1.601,At or above target
REN,AT,2014,33.55,,Total,Austria,West,True,0.885,-0.451,0.0,1.601,At or above target
REN,AT,2015,33.497,,Total,Austria,West,True,-0.053,-0.451,0.0,1.601,At or above target
REN,AT,2016,33.37,,Total,Austria,West,True,-0.127,-0.451,0.0,1.601,At or above target
REN,AT,2017,33.136,,Total,Austria,West,True,-0.234,-0.451,0.0,1.601,At or above target
REN,AT,2018,33.784,,Total,Austria,West,True,0.648,-0.451,0.0,1.601,At or above target
REN,AT,2019,33.755,,Total,Austria,West,True,-0.029,-0.451,0.0,1.601,At or above target
REN,AT,2020,36.545,,Total,Austria,West,True,2.79,-0.451,0.0,1.601,At or above target
REN,AT,2021,34.643,,Total,Austria,West,True,-1.902,-0.451,0.0,1.601,At or above target
REN,AT,2022,34.057,,Total,Austria,West,True,-0.586,-0.451,0.0,1.601,At or above target
REN,AT,2023,41.6,,Total,Austria,West,True,7.543,-0.451,0.0,1.601,At or above target
